mode,pass_index,direction,phase,elapsed_s,esc_pulse_us,esc_tick,signed_speed_mps,raw_ds_m,raw_dyaw_rad,fresh_odom,leg_motion_m,clearance_m,controller_state,recovery_count
decay,1,forward,closed_loop,6.5785,1412.231,1139,0.154750,0.0288302,-0.0035348,1,0.270320,1.519,rolling,1
decay,1,forward,closed_loop,6.5934,1412.231,1139,0.154750,,,0,0.270320,1.519,rolling,1
decay,1,forward,closed_loop,6.6152,1412.231,1139,0.154750,,,0,0.270320,1.519,rolling,1
decay,1,forward,closed_loop,6.6368,1412.231,1139,0.154750,,,0,0.270320,1.519,rolling,1
decay,1,forward,closed_loop,6.6585,1412.231,1139,0.154750,,,0,0.270320,1.540,rolling,1
decay,1,forward,closed_loop,6.6799,1412.989,1140,0.193578,0.0296383,0.0027096,1,0.299959,1.540,rolling,1
decay,1,forward,closed_loop,6.6993,1412.989,1140,0.193578,,,0,0.299959,1.540,rolling,1
decay,1,forward,closed_loop,6.7209,1412.989,1140,0.193578,,,0,0.299959,1.540,rolling,1
decay,1,forward,closed_loop,6.7425,1412.989,1140,0.193578,,,0,0.299959,1.540,rolling,1
decay,1,forward,closed_loop,6.7641,1412.989,1140,0.193578,,,0,0.299959,1.561,rolling,1
decay,1,forward,closed_loop,6.7798,1413.306,1140,0.208177,0.0255435,0.0011567,1,0.325502,1.561,rolling,1
decay,1,forward,closed_loop,6.7955,1413.306,1140,0.208177,,,0,0.325502,1.561,rolling,1
decay,1,forward,closed_loop,6.8170,1413.306,1140,0.208177,,,0,0.325502,1.561,rolling,1
decay,1,forward,closed_loop,6.8386,1413.306,1140,0.208177,,,0,0.325502,1.561,rolling,1
decay,1,forward,closed_loop,6.8602,1413.306,1140,0.208177,,,0,0.325502,1.584,rolling,1
decay,1,forward,closed_loop,6.8809,1413.286,1140,0.206240,0.0200150,-0.0014376,1,0.345517,1.584,rolling,1
decay,1,forward,closed_loop,6.8977,1413.286,1140,0.206240,,,0,0.345517,1.584,rolling,1
decay,1,forward,closed_loop,6.9194,1413.286,1140,0.206240,,,0,0.345517,1.584,rolling,1
decay,1,forward,closed_loop,6.9410,1413.286,1140,0.206240,,,0,0.345517,1.584,rolling,1
decay,1,forward,closed_loop,6.9626,1413.286,1140,0.206240,,,0,0.345517,1.602,rolling,1
decay,1,forward,closed_loop,6.9813,1413.431,1140,0.211694,0.0230507,-0.0022358,1,0.368568,1.602,rolling,1
decay,1,forward,closed_loop,6.9897,1413.431,1140,0.211694,,,0,0.368568,1.602,rolling,1
decay,1,forward,closed_loop,7.0114,1413.431,1140,0.211694,,,0,0.368568,1.602,rolling,1
decay,1,forward,closed_loop,7.0329,1413.431,1140,0.211694,,,0,0.368568,1.602,rolling,1
decay,1,forward,closed_loop,7.0545,1413.431,1140,0.211694,,,0,0.368568,1.602,rolling,1
decay,1,forward,closed_loop,7.0760,1413.431,1140,0.211694,,,0,0.368568,1.620,rolling,1
decay,1,forward,closed_loop,7.0815,1413.248,1140,0.202211,0.0174175,-0.0007531,1,0.385985,1.620,rolling,1
decay,1,forward,closed_loop,7.0928,1413.248,1140,0.202211,,,0,0.385985,1.620,rolling,1
decay,1,forward,closed_loop,7.1145,1413.248,1140,0.202211,,,0,0.385985,1.620,rolling,1
decay,1,forward,closed_loop,7.1360,1413.248,1140,0.202211,,,0,0.385985,1.620,rolling,1
decay,1,forward,closed_loop,7.1575,1413.248,1140,0.202211,,,0,0.385985,1.632,rolling,1
decay,1,forward,closed_loop,7.1793,1412.986,1140,0.190568,0.0156619,0.0000698,1,0.401647,1.632,rolling,1
decay,1,forward,closed_loop,7.1963,1412.986,1140,0.190568,,,0,0.401647,1.632,rolling,1
decay,1,forward,closed_loop,7.2179,1412.986,1140,0.190568,,,0,0.401647,1.632,rolling,1
decay,1,forward,closed_loop,7.2395,1412.986,1140,0.190568,,,0,0.401647,1.632,rolling,1
decay,1,forward,closed_loop,7.2611,1412.986,1140,0.190568,,,0,0.401647,1.645,rolling,1
decay,1,forward,closed_loop,7.2798,1412.673,1139,0.178114,0.0137117,-0.0002719,1,0.415359,1.645,rolling,1
decay,1,forward,closed_loop,7.2886,1412.673,1139,0.178114,,,0,0.415359,1.645,rolling,1
decay,1,forward,closed_loop,7.3103,1412.673,1139,0.178114,,,0,0.415359,1.645,rolling,1
decay,1,forward,closed_loop,7.3319,1412.673,1139,0.178114,,,0,0.415359,1.645,rolling,1
decay,1,forward,closed_loop,7.3534,1412.673,1139,0.178114,,,0,0.415359,1.645,rolling,1
decay,1,forward,closed_loop,7.3750,1412.673,1139,0.178114,,,0,0.415359,1.653,rolling,1
decay,1,forward,closed_loop,7.3803,1411.812,1139,0.143617,0.0040787,0.0005003,1,0.419438,1.653,rolling,1
decay,1,forward,closed_loop,7.3984,1411.812,1139,0.143617,,,0,0.419438,1.653,rolling,1
decay,1,forward,closed_loop,7.4200,1411.812,1139,0.143617,,,0,0.419438,1.653,rolling,1
decay,1,forward,closed_loop,7.4415,1411.812,1139,0.143617,,,0,0.419438,1.653,rolling,1
decay,1,forward,closed_loop,7.4631,1411.812,1139,0.143617,,,0,0.419438,1.658,rolling,1
decay,1,forward,closed_loop,7.4809,1411.195,1138,0.124158,0.0065690,-0.0003631,1,0.426007,1.658,rolling,1
decay,1,forward,closed_loop,7.4985,1411.195,1138,0.124158,,,0,0.426007,1.658,rolling,1
decay,1,forward,closed_loop,7.5202,1411.195,1138,0.124158,,,0,0.426007,1.658,rolling,1
